p,isSync,Tsync
0.0,False,-1.0
0.0,False,-1.0
0.05,False,-1.0
0.05,False,-1.0
0.1,True,1.9400786054637793
0.1,True,1.129321458352659
0.15000000000000002,True,1.1329479496512427
0.15000000000000002,False,-1.0
0.2,False,-1.0
0.2,True,1.8292492818863093
0.25,False,-1.0
0.25,True,1.532211301687666
0.30000000000000004,True,0.8710485146349767
0.30000000000000004,True,1.004296418162085
0.35000000000000003,False,-1.0
0.35000000000000003,True,1.8869120561211314
0.4,False,-1.0
0.4,False,-1.0
0.45,True,1.6851270135861072
0.45,True,0.7827263035948748
0.5,True,0.8243526599136546
0.5,False,-1.0
0.55,False,-1.0
0.55,False,-1.0
0.6000000000000001,True,0.8166842958078738
0.6000000000000001,True,1.84885547504553
0.65,True,1.1092699005990558
0.65,True,1.0984503756950263
0.7000000000000001,True,1.7310856085535844
0.7000000000000001,False,-1.0
0.75,True,2.0156591222563223
0.75,True,1.381280966728024
0.8,True,1.3058458713015146
0.8,False,-1.0
0.8500000000000001,False,-1.0
0.8500000000000001,False,-1.0
0.9,False,-1.0
0.9,False,-1.0
0.9500000000000001,False,-1.0
0.9500000000000001,True,1.9738774081246668
1.0,True,0.7097089927419719
1.0,True,1.3259389492636924
