p,isSync,Tsync
0.0,False,-1.0
0.0,False,-1.0
0.05,True,3.800000000000002
0.05,True,15.399999999999961
0.1,True,5.399999999999997
0.1,True,8.199999999999987
0.15000000000000002,True,9.99999999999998
0.15000000000000002,True,4.999999999999998
0.2,True,8.399999999999986
0.2,True,21.600000000000037
0.25,True,7.39999999999999
0.25,True,5.699999999999996
0.30000000000000004,True,4.100000000000001
0.30000000000000004,True,2.400000000000001
0.35000000000000003,True,7.499999999999989
0.35000000000000003,True,5.099999999999998
0.4,True,6.799999999999992
0.4,True,6.499999999999993
0.45,True,7.799999999999988
0.45,True,7.39999999999999
0.5,True,7.39999999999999
0.5,True,9.799999999999981
0.55,True,5.399999999999997
0.55,True,9.199999999999983
0.6000000000000001,True,4.300000000000001
0.6000000000000001,True,5.999999999999995
0.65,True,5.699999999999996
0.65,True,5.599999999999996
0.7000000000000001,True,7.099999999999991
0.7000000000000001,True,3.3000000000000016
0.75,True,8.699999999999985
0.75,True,3.700000000000002
0.8,True,5.599999999999996
0.8,True,7.19999999999999
0.8500000000000001,True,2.800000000000001
0.8500000000000001,True,5.999999999999995
0.9,True,2.400000000000001
0.9,True,3.3000000000000016
0.9500000000000001,True,3.4000000000000017
0.9500000000000001,True,7.19999999999999
1.0,True,4.200000000000001
1.0,True,4.4
