p,isSync,Tsync
0.0,False,-1.0
0.0,False,-1.0
0.05,False,-1.0
0.05,False,-1.0
0.1,False,-1.0
0.1,False,-1.0
0.15000000000000002,False,-1.0
0.15000000000000002,False,-1.0
0.2,False,-1.0
0.2,False,-1.0
0.25,False,-1.0
0.25,False,-1.0
0.30000000000000004,False,-1.0
0.30000000000000004,False,-1.0
0.35000000000000003,False,-1.0
0.35000000000000003,False,-1.0
0.4,False,-1.0
0.4,False,-1.0
0.45,False,-1.0
0.45,False,-1.0
0.5,True,2.700000000000001
0.5,True,4.699999999999999
0.55,True,10.699999999999978
0.55,True,10.29999999999998
0.6000000000000001,False,-1.0
0.6000000000000001,False,-1.0
0.65,False,-1.0
0.65,True,17.49999999999998
0.7000000000000001,False,-1.0
0.7000000000000001,False,-1.0
0.75,True,6.8999999999999915
0.75,True,2.400000000000001
0.8,True,5.899999999999995
0.8,True,12.69999999999997
0.8500000000000001,True,4.4
0.8500000000000001,True,8.699999999999985
0.9,False,-1.0
0.9,True,9.099999999999984
0.9500000000000001,False,-1.0
0.9500000000000001,False,-1.0
1.0,True,2.800000000000001
1.0,True,5.699999999999996
