p,isSync,Tsync
0.0,False,-1.0
0.0,False,-1.0
0.05,True,16.699999999999967
0.05,True,15.499999999999961
0.1,True,20.50000000000002
0.1,True,15.89999999999996
0.15000000000000002,True,16.19999999999996
0.15000000000000002,True,6.5999999999999925
0.2,True,16.399999999999963
0.2,True,3.5000000000000018
0.25,True,16.399999999999963
0.25,True,11.399999999999975
0.30000000000000004,True,5.4999999999999964
0.30000000000000004,True,15.199999999999962
0.35000000000000003,True,28.80000000000014
0.35000000000000003,True,19.300000000000004
0.4,True,4.999999999999998
0.4,True,9.799999999999981
0.45,True,11.599999999999975
0.45,True,16.19999999999996
0.5,True,3.700000000000002
0.5,True,5.999999999999995
0.55,True,12.89999999999997
0.55,True,4.899999999999999
0.6000000000000001,True,5.1999999999999975
0.6000000000000001,True,14.599999999999964
0.65,True,7.099999999999991
0.65,True,15.69999999999996
0.7000000000000001,True,8.599999999999985
0.7000000000000001,True,11.599999999999975
0.75,True,10.699999999999978
0.75,True,13.999999999999966
0.8,True,15.69999999999996
0.8,True,13.499999999999968
0.8500000000000001,True,12.499999999999972
0.8500000000000001,True,7.899999999999988
0.9,True,17.399999999999977
0.9,True,14.199999999999966
0.9500000000000001,True,1.0999999999999999
0.9500000000000001,True,4.000000000000002
1.0,True,3.900000000000002
1.0,True,4.000000000000002
