p,isSync,Tsync
0.0,False,-1.0
0.0,False,-1.0
0.05,True,1.156957080144024
0.05,False,-1.0
0.1,True,1.8696397350071892
0.1,False,-1.0
0.15000000000000002,False,-1.0
0.15000000000000002,True,0.7643755988898848
0.2,True,1.1506598976810944
0.2,True,1.2059877026465065
0.25,False,-1.0
0.25,True,1.3522217969211867
0.30000000000000004,False,-1.0
0.30000000000000004,True,2.1503495361195943
0.35000000000000003,True,1.9702623501193575
0.35000000000000003,False,-1.0
0.4,False,-1.0
0.4,True,1.2120181479269645
0.45,True,1.7876250028100333
0.45,True,2.0272605359359055
0.5,True,1.4048926749689963
0.5,False,-1.0
0.55,True,0.8196182162464645
0.55,False,-1.0
0.6000000000000001,False,-1.0
0.6000000000000001,True,1.1905537409810498
0.65,True,2.0862044238819255
0.65,True,1.6347194539623011
0.7000000000000001,False,-1.0
0.7000000000000001,False,-1.0
0.75,True,2.154773987515698
0.75,True,0.994212641469014
0.8,True,1.6238996174646938
0.8,False,-1.0
0.8500000000000001,True,1.8225407764186068
0.8500000000000001,False,-1.0
0.9,False,-1.0
0.9,False,-1.0
0.9500000000000001,True,0.7871519343444754
0.9500000000000001,True,1.5670391920203834
1.0,False,-1.0
1.0,True,1.8126878317783746
