p,isSync,Tsync
0.0,False,-1.0
0.0,False,-1.0
0.05,True,3.554867085793983
0.05,True,4.1387369158245555
0.1,False,-1.0
0.1,True,6.330079354823933
0.15000000000000002,True,2.0429086881433576
0.15000000000000002,True,6.419937031796557
0.2,True,4.022038202998957
0.2,True,3.046388645693611
0.25,True,2.1078364090914627
0.25,True,3.8364013927068696
0.30000000000000004,True,4.067140260992625
0.30000000000000004,True,1.7901821963113531
0.35000000000000003,True,2.6379024659854586
0.35000000000000003,True,2.076150008417766
0.4,True,5.158426531732161
0.4,True,4.072539561510066
0.45,True,6.398958067468844
0.45,True,4.8128203370456815
0.5,True,6.976618863810127
0.5,True,5.1270959188760825
0.55,True,2.842115948034512
0.55,True,3.853579412958091
0.6000000000000001,True,3.3801932176537592
0.6000000000000001,True,4.865682712997325
0.65,False,-1.0
0.65,False,-1.0
0.7000000000000001,True,2.9970064716805314
0.7000000000000001,True,3.3637058369611634
0.75,True,7.526379994016805
0.75,True,4.390279451365693
0.8,True,3.209374220985255
0.8,True,3.5373435901627945
0.8500000000000001,True,5.09526452779297
0.8500000000000001,True,4.293649676293754
0.9,True,4.151446191054862
0.9,True,4.14710454719796
0.9500000000000001,False,-1.0
0.9500000000000001,True,5.0356003120269754
1.0,False,-1.0
1.0,True,0.8786353523224186
