p,isSync,Tsync
0.0,False,-1.0
0.0,False,-1.0
0.05,True,5.299999999999997
0.05,True,1.4000000000000001
0.1,True,9.599999999999982
0.1,True,4.6
0.15000000000000002,True,2.1000000000000005
0.15000000000000002,True,4.799999999999999
0.2,True,3.3000000000000016
0.2,True,3.800000000000002
0.25,True,4.100000000000001
0.25,True,2.400000000000001
0.30000000000000004,True,3.900000000000002
0.30000000000000004,True,5.299999999999997
0.35000000000000003,True,3.2000000000000015
0.35000000000000003,True,8.599999999999985
0.4,True,3.800000000000002
0.4,True,4.4
0.45,True,2.1000000000000005
0.45,True,1.7000000000000004
0.5,True,4.100000000000001
0.5,True,2.0000000000000004
0.55,True,1.5000000000000002
0.55,True,4.100000000000001
0.6000000000000001,True,3.1000000000000014
0.6000000000000001,True,1.8000000000000005
0.65,True,2.500000000000001
0.65,True,1.8000000000000005
0.7000000000000001,True,4.6
0.7000000000000001,True,3.600000000000002
0.75,True,0.5
0.75,True,3.5000000000000018
0.8,True,5.399999999999997
0.8,True,6.099999999999994
0.8500000000000001,True,3.900000000000002
0.8500000000000001,True,1.5000000000000002
0.9,True,4.300000000000001
0.9,True,4.6
0.9500000000000001,True,4.300000000000001
0.9500000000000001,True,1.6000000000000003
1.0,True,4.000000000000002
1.0,True,2.700000000000001
